Mes,Luis_Cabrejo,Marketing_Manager,SEO_Specialist,Developer_Senior,Total_Equipo,Claude_API,Supabase,Vercel,Resend,SEO_Tools,Total_Tech,Google_Ads,Meta_Ads,Total_Marketing,Habladores_QR,luiscabrejo_com,Total_Costos,Fundadores_Activos,Constructores_Activos,Ingreso_SaaS_Mes,Estructura,Ingreso_Inversor_Mes
M1,5000000,5000000,0,0,10000000,833333,112500,90000,90000,400000,1525833,1000000,800000,1800000,3803000,800000,17928833,5,0,1250000,0x0,0
M2,5000000,5000000,0,0,10000000,833333,112500,90000,90000,400000,1525833,1000000,800000,1800000,500000,800000,14625833,15,30,8220000,5x5,382500
M3,5000000,5000000,4000000,0,14000000,833333,112500,90000,90000,400000,1525833,1000000,800000,1800000,500000,2800000,20625833,30,80,19420000,15x15,1147500
M4,5000000,5000000,4000000,10000000,24000000,833333,112500,90000,90000,400000,1525833,3000000,2500000,5500000,1300000,800000,33125833,50,150,34850000,25x25,1912500
M5,5000000,5000000,4000000,10000000,24000000,833333,112500,90000,90000,400000,1525833,3000000,2500000,5500000,1300000,800000,33125833,75,250,56000000,40x40,3060000
M6,5000000,5000000,4000000,10000000,24000000,833333,112500,90000,90000,400000,1525833,3000000,2500000,5500000,1400000,800000,33225833,105,400,85850000,55x55,4207500
M7,8000000,5000000,4000000,10000000,27000000,833333,112500,90000,90000,400000,1525833,4000000,3500000,7500000,2000000,800000,38825833,140,600,124400000,70x70,5355000
M8,8000000,5000000,4000000,10000000,27000000,833333,112500,90000,90000,400000,1525833,4000000,3500000,7500000,2000000,800000,38825833,140,800,154200000,85x85,6502500
M9,8000000,5000000,4000000,10000000,27000000,833333,112500,90000,90000,400000,1525833,4000000,3500000,7500000,2000000,800000,38825833,140,1000,184000000,100x100,7650000
M10,8000000,5000000,4000000,10000000,27000000,833333,112500,90000,90000,400000,1525833,3000000,2500000,5500000,1300000,800000,36125833,140,1200,213800000,110x110,8415000
M11,8000000,5000000,4000000,10000000,27000000,833333,112500,90000,90000,400000,1525833,3000000,2500000,5500000,1300000,800000,36125833,140,1400,243600000,120x120,9180000
M12,8000000,5000000,4000000,10000000,27000000,833333,112500,90000,90000,400000,1525833,3000000,2500000,5500000,1300000,800000,36125833,140,1500,258500000,130x130,9945000
TOTAL,81000000,60000000,40000000,90000000,271000000,10000000,1350000,1080000,1080000,4800000,18310000,33000000,27300000,60300000,17403000,15600000,382613000,,,1384090000,,57757500
